0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.92633057,-0.16393103,-0.13077109,-1.2971424,-1.0063897,-0.51574224,-0.53057826,0.46122816,-1.046481,0.15777239,1.5395467,1.0561426,-0.40495673,-1.2637782,1.2784455,-2.3268507,0.04393789,0.10494706,-0.37875292,0.5774627,0.42843407,0.72724867,1.1806285,0.84603125,2.7257004,-0.50669825,0.13747859,0.79143524,0.07988065,0.005157074,-0.8582391,-2.3910227,-1.2285236,-0.5739538,-0.18512331,-1.145996,-0.046954297,0.64788675,-2.4155064,-0.45330566,0.861872,0.3854013,1.13395,-1.0504111,0.23534378,-1.4633443,-1.3080227,0.38203377,1.2360185,0.9530156,-0.022239754,0.78450537,0.41011882,-1.1172544,0.8827449,-0.45117393,0.7675976,-0.663696,-0.24916272,0.87439483,0.85165805,-0.88210356,-1.4653475,-0.95385927,0.38273633,0.84969604,-0.1795176,1.462593,0.07550509,-0.4650711,-0.2770964,0.05345653,0.96411663,-0.5947093,-1.1196684,0.26752326,-1.5056982,-0.22190428,1.2016686,0.7843808,-1.273173,-0.20040539,0.17611815,0.95140475,0.20366086,-1.2188346,-0.35115594,0.55465627,1.5088371,-2.0770721,1.4972206,0.57965666,0.13995932,1.625033,0.5646913,1.1843014,0.84564894,-1.0935763,0.6120156,0.71998864,-0.10398574,-0.32087007,-0.14673159,-0.64816,0.14850478,-2.6331275,0.2614524,0.14159736,0.58211213,-1.1199412,0.5417516,1.0465987,0.29774228,-1.1465935,-0.9732887,1.1552917,-0.4383672,-0.2825268,-0.63451123,-0.9392981,0.093807064,1.3747733,-0.0750203,0.14328834,-0.8237102,-1.205137,-0.85589,0.4447896
-0.66580147,1.0037805,0.41021344,-1.2641734,0.29782417,0.10667249,-0.20364925,0.549583,-1.412216,-0.5767385,1.563626,0.63674015,-1.1298909,-0.81520694,1.2988994,-1.5176835,0.6738898,-0.25981462,-1.2608225,0.5830658,0.2893367,0.028350083,0.9374117,0.9734172,1.6315733,-0.11013528,0.71503407,0.23264879,-0.3891926,-0.41982588,-0.23976645,-1.7345331,-1.2237511,0.1430733,-0.092440374,0.05480145,-0.60379547,-0.23589787,-2.4812958,-0.27946976,0.37706628,-0.41861275,0.79341227,-0.7638381,0.8823444,-0.99587566,-1.0333686,0.5597638,0.80193216,0.811297,-0.09990496,0.9490517,0.8483064,-0.47914177,0.6185497,-0.16735663,0.46225315,-0.7494805,-0.29495507,0.7327762,0.61724156,-0.686192,-0.51474726,-2.094368,-0.89281356,0.53092736,0.112966515,1.1303638,0.4083426,-1.388783,-1.0729498,-0.19563031,0.54045177,-1.6763215,-1.3947328,0.9155209,-0.094221145,-0.51453114,1.461138,0.52766,-0.41561237,-0.33578405,-0.19995855,0.58812344,-0.22552216,-1.4866042,-0.7754987,0.4785937,0.79575986,-1.9519815,1.6720387,0.30177945,-0.8059194,0.87865067,-0.20612364,1.5888797,0.5098785,-0.0046646395,0.58125603,0.7288188,-1.2547431,0.3719747,0.24483454,-0.81678236,0.3709573,-1.5023882,-0.59980226,0.688193,0.06727616,-1.344831,-0.20022412,1.5453684,0.73909074,-0.12105125,-0.20606919,1.118764,0.85121435,-0.8853282,-0.16470656,0.19030245,0.50067496,1.7933373,0.9173814,-2.2579072,-0.7194974,-1.063655,-0.74213165,0.08027597
-0.5253178,1.754143,-0.44603422,-1.3862462,-0.08666985,0.14367354,0.2717522,0.88657236,-1.1589714,-0.5809325,0.90348554,0.9618009,0.38607305,-1.2745377,1.6601647,-1.2688478,-0.53463066,-0.7583042,-0.4943489,1.2101002,1.2536759,-0.2014503,1.3611997,1.3785617,2.215452,-0.16799818,0.03487494,0.51958406,-0.9213514,-0.7777616,-0.87643456,-1.9463952,-0.93752044,0.06565885,0.4356505,-0.018530646,-0.71443903,0.25928974,-1.9417179,-0.6584597,0.25116935,1.2795151,1.0308175,-1.159094,0.59488994,-0.8147594,-0.59937066,0.82541966,0.92839265,1.1024472,-0.14835694,0.4259051,-0.0910276,-0.3028052,-0.60994667,0.22545134,0.77273905,-1.0479745,-0.20138696,1.5171239,0.34160873,-0.49914035,-1.9185346,-1.2959238,-1.179116,0.04732607,0.21364343,0.31299952,-1.0247333,-2.1814227,-0.43103063,1.1276486,-0.10225758,-0.4359957,-2.2425523,1.1620194,-0.2645616,-0.374606,1.8953395,1.0829333,-0.28352934,-0.7633991,0.2791076,0.6417512,-0.09856688,-1.4997032,-0.641601,0.030519737,1.8851616,-1.8572543,1.9810299,0.8088538,-0.6904284,0.46565825,0.44106215,1.2653255,-0.63074815,0.032290827,0.46299422,0.29931986,-0.8798385,-0.05443383,-0.2301472,-0.6452868,0.5414046,-1.3890885,-1.0901783,0.20583053,-0.17497475,-1.237852,0.8982804,0.5443552,-0.057222974,-0.48832315,-0.18370046,0.5636082,1.1980953,0.26699468,0.33328676,-0.16612177,0.10366917,1.4135374,-0.057967212,-0.118731946,-0.9370803,-1.8188274,-1.4260987,-0.027398843
0.4850219,1.7871475,-0.67939633,-2.1117616,-0.8941932,-0.1640742,0.11874404,0.40203708,-0.25299153,-0.9171995,1.9844298,0.38582778,-0.06528053,-0.9142766,0.66845703,-1.0988748,-0.9122341,0.5368501,-0.77658933,0.8262634,1.0102093,0.28099355,2.3906193,0.8420883,1.9739903,0.044310603,0.10142217,-0.3464012,0.02437536,0.2521474,-0.4786431,-1.9007043,-0.73636276,-1.1923978,-0.08855724,-0.84137285,1.2773317,-0.44314906,-1.4407612,-0.44805866,0.672175,1.3830621,1.5112573,-1.2322267,1.3348173,-1.158366,-1.265621,-0.53995585,0.79491234,0.017433751,0.086058214,0.84502816,-0.61317074,-0.0050315317,0.7765641,-0.51096886,0.58584005,-0.55238515,-0.8859917,1.1057318,0.038231876,-1.1760104,-2.2755077,-1.223249,-1.3317091,0.0494057,0.4222329,0.13987447,-0.23472492,-2.1914363,-0.06814767,0.42908192,1.2211738,-0.7060466,-1.6581969,0.20938726,-0.24510995,-0.28332356,1.639131,1.3964738,-0.71654546,-0.19800285,-0.4025202,-0.19443315,-0.20252736,-0.80230945,-0.21480273,0.10324401,0.74611413,-2.8726332,1.9944193,1.5300252,-1.2987784,1.2598432,0.06414631,1.8255217,0.1815122,-1.0588273,-0.42601052,0.61887795,0.26890406,0.91621137,0.18168578,-0.75592935,-0.5815526,-1.275134,-0.13225514,0.4395965,-0.09236174,-1.7880706,0.4562442,0.18753551,-1.0175136,-0.7626591,0.56474954,0.6357143,-0.009632643,0.3587618,0.37550306,-0.04903648,0.96406597,2.2312999,1.0540694,-0.37105474,-0.8817153,-1.4963409,-1.3776468,0.058369856
